name,host,radeg,dedeg,rproj,gmag,e_gmag,rimag,e_rimag,Mgmag,MVmag,e_MVmag,logMstar,e_logMstar,mu0V,e_mu0V,re,e_re,ETG,confirmed,Psat,filter,telescope,bad,dist,rearcsec,mueg,host_ra,host_dec,host_dist,host_alt_id,iso
dw0510m3717,NGC1808,77.7102,-37.2859,107.5,20.69,0.17,20.16,0.16,-9.15,-9.46,0.17,5.83,0.18,25.25,0.25,285.3,44.1,True,False,0.55,gr,DECALS,nan,9.29,6.33448322968744,26.7040306352521,76.926429,-37.51305,9.29,nan,1.0
dw0848p3226,NGC2683,132.166,32.4442,212.2,20.01,0.14,19.3,0.13,-9.86,-10.27,0.14,6.42,0.16,26.75,0.2,747.4,91.3,True,True,1.0,gr,DECALS,nan,9.4,16.4002463685331,28.0897265426113,133.17211034566,33.42183268931,9.4,nan,1.0
dw0852p3347,NGC2683,133.2006,33.799,61.8,16.37,0.09,16.04,0.09,-13.5,-13.69,0.09,7.22,0.13,25.62,0.11,2394.3,133.6,False,True,1.0,gr,DECALS,nan,9.4,52.5382781826716,26.9778538602991,133.17211034566,33.42183268931,9.4,nan,1.0
dw0853p3318,NGC2683,133.3617,33.3052,32.4,18.4,0.1,18.02,0.1,-11.47,-11.69,0.11,6.48,0.13,23.54,0.14,499.7,38.8,False,True,1.0,gr,DECALS,nan,9.4,10.9649493175089,25.6055078247866,133.17211034566,33.42183268931,9.4,nan,1.0
dw0855p3336,NGC2683,133.7936,33.6155,90.7,18.7,0.11,18.15,0.1,-11.16,-11.48,0.11,6.67,0.13,24.16,0.14,587.6,49.1,True,True,1.0,gr,DECALS,nan,9.4,12.8937446800985,26.2573700123818,133.17211034566,33.42183268931,9.4,nan,1.0
dw0855p3333,NGC2683,133.8454,33.5572,94.8,16.68,0.09,16.11,0.09,-13.18,-13.52,0.09,7.51,0.13,24.44,0.11,1004.0,58.3,True,True,1.0,gr,DECALS,nan,9.4,22.0308366685731,25.4006296354067,133.17211034566,33.42183268931,9.4,nan,1.0
dw0856p3155,NGC2683,134.108,31.9172,278.9,18.95,0.11,18.38,0.11,-10.91,-11.25,0.12,6.61,0.13,24.32,0.15,437.5,39.0,True,True,1.0,gr,DECALS,nan,9.4,9.6000907093558,25.8668513648428,133.17211034566,33.42183268931,9.4,nan,1.0
dw0846p3300,NGC2683,131.5588,32.9974,232.2,18.34,0.1,17.7,0.1,-11.52,-11.9,0.11,6.98,0.13,26.71,0.14,1747.7,134.0,True,False,0.9,gr,DECALS,nan,9.4,38.349893374917,28.2642954857745,133.17211034566,33.42183268931,9.4,nan,1.0
dw0846p3348,NGC2683,131.6301,33.8106,220.0,18.42,0.1,17.9,0.1,-11.44,-11.75,0.11,6.75,0.14,25.57,0.14,910.2,71.1,True,False,0.95,gr,DECALS,nan,9.4,19.9725772403563,26.9276452286844,133.17211034566,33.42183268931,9.4,nan,1.0
dw0852p3249,NGC2683,133.1987,32.8288,97.6,20.29,0.15,19.72,0.14,-9.58,-9.91,0.15,6.06,0.17,24.98,0.22,352.8,47.3,True,False,0.7,gr,DECALS,nan,9.4,7.74151314997941,26.7396039608984,133.17211034566,33.42183268931,9.4,nan,1.0
dw0854p3314,NGC2683,133.5854,33.2493,63.5,19.1,0.11,18.47,0.11,-10.77,-11.13,0.12,6.65,0.14,25.45,0.16,598.4,55.4,True,False,0.9,gr,DECALS,nan,9.4,13.1307297756946,26.6969190009678,133.17211034566,33.42183268931,9.4,nan,1.0
dw0929p2213,NGC2903,142.4777,22.2181,139.5,20.59,0.16,20.17,0.16,-9.18,-9.42,0.17,5.64,0.18,25.77,0.24,415.9,62.0,False,True,1.0,gr,DECALS,nan,9.0,9.53172587301148,27.4913324007,143.042129,21.500831,9.0,nan,1.0
dw0930p1959,NGC2903,142.554,19.9913,247.8,16.65,0.09,16.28,0.09,-13.12,-13.34,0.09,7.13,0.13,23.61,0.11,556.5,32.0,False,True,1.0,gr,DECALS,nan,9.0,12.7540405033577,24.1837136410072,143.042129,21.500831,9.0,nan,1.0
dw0930p2143,NGC2903,142.6666,21.724,65.1,18.96,0.08,18.72,0.07,-10.81,-10.95,0.09,5.98,0.11,23.3,0.06,270.5,21.5,False,True,1.0,gr,CFHT,nan,9.0,6.19940334144879,24.9272241469801,143.042129,21.500831,9.0,nan,1.0
dw0932p1952,NGC2903,143.0991,19.8754,255.5,19.33,0.12,18.75,0.11,-10.44,-10.78,0.12,6.44,0.14,24.17,0.17,309.0,30.6,True,True,1.0,gr,DECALS,nan,9.0,7.08175834503437,25.5861801966919,143.042129,21.500831,9.0,nan,1.0
UGC5086,NGC2903,143.2034,21.4656,24.2,15.74,0.08,15.15,0.06,-14.03,-14.37,0.08,7.88,0.13,22.38,0.13,728.9,30.3,True,True,1.0,gr,CFHT,nan,9.0,16.7051574383101,23.8597275468162,143.042129,21.500831,9.0,nan,1.0
