host,ID,ra,dec,morph,re,zspec,tile,x,y,bands,n_bands,cutout
NGC5236,dw1340-30,205.0792,-30.3597,,14.7325735015213,,,,,,0,0
NGC5236,KK200,201.15,-30.9717,,16.3124741451161,,,,,,0,0
NGC5236,IC4247,201.6875,-30.3625,,21.416430946507,,,,,,0,0
NGC5236,ESO444-84,204.3333,-28.0442,,23.8038363634947,,,,,,0,0
NGC5236,IC4316,205.075,-28.8947,,39.8398278959817,,,,,,0,0
NGC5236,ESO444-78,204.1292,-29.2342,,26.5949941671788,,,,,,0,0
NGC5236,KK208,204.15,-29.5708,,178.814032564637,,,,,,0,0
NGC5236,NGC5264,205.4042,-29.9131,,46.1243215671698,,,,,,0,0
NGC5236,KK218,206.6667,-29.9781,,14.3990389212069,,,,,,0,0
NGC5236,HIJ1337-33,204.2542,-33.3631,,5.24000380125602,,,,,,0,0
NGC5457,dw1350p5441,207.7431,54.6892,,22.8255807897748,,"(241, 289)",2356.751720389956,8670.955093864673,ugriz,5,1
NGC5457,UGC8837,208.6892,53.9043,,78.2854272325518,,"(245, 288)",1806.1118477121913,3151.7318956984673,ugriz,5,1
NGC5457,dw1403p5337,210.7728,53.6147,,27.1412751974064,,"(251, 287)",7464.82423097374,7226.482890445404,ugriz,5,1
NGC5457,NGC5474,211.2561,53.6617,,92.984174656191,,"(251, 287)",1912.3083197395817,8139.423110667737,ugriz,5,1
NGC6744,dw1905m6316,286.4831,-63.2721,,9.48126718324642,,,,,,0,0
NGC6744,dw1906m6357,286.7415,-63.9636,,17.4022966700763,,,,,,0,0
NGC6744,dw1907m6342,286.8439,-63.7064,,7.99016852802998,,,,,,0,0
NGC6744,dw1908m6343,287.183,-63.7301,,39.7826043065629,,,,,,0,0
NGC6744,dw1911m6413,287.8437,-64.2226,,35.8693345746347,,,,,,0,0
NGC6744,dw1859m6402,284.8605,-64.0396,,6.57742745284037,,,,,,0,0
NGC6744,dw1901m6315,285.3732,-63.2594,,17.9346672873174,,,,,,0,0
NGC6744,dw1903m6449,285.843,-64.8277,,7.11901660890816,,,,,,0,0
NGC6744,dw1903m6405,285.9146,-64.0985,,5.53342793071819,,,,,,0,0
NGC6744,dw1909m6341,287.2847,-63.6853,,8.26672469283055,,,,,,0,0
NGC6744,dw1912m6432,288.0953,-64.5419,,5.87681850201224,,,,,,0,0
NGC0448,MATLAS-1,18.2998,-2.0792,dI  ,0.0,,,,,,0,0
NGC0448,MATLAS-2,18.3236,-1.1708,dE  ,3.81,,,,,,0,0
NGC0448,MATLAS-3,18.3396,-1.8231,dI  ,4.54,,,,,,0,0
NGC0448,MATLAS-4,18.4198,-1.9169,dI  ,0.0,,,,,,0,0
NGC0448,MATLAS-9,18.7782,-1.2741,dIN ,0.0,,,,,,0,0
NGC0448,MATLAS-11,18.7967,-1.1504,dI  ,0.0,,,,,,0,0
NGC0448,MATLAS-13,18.8402,-1.1981,dI  ,0.0,,,,,,0,0
NGC0448,MATLAS-14,18.9516,-1.3149,dE  ,2.39,,,,,,0,0
NGC0448,MATLAS-15,18.9577,-1.3915,dE  ,4.28,,,,,,0,0
NGC0448,MATLAS-16,18.9681,-1.4602,dI  ,0.0,,,,,,0,0
NGC0448,MATLAS-17,19.1392,-1.8167,dI  ,0.0,,,,,,0,0
NGC0448,MATLAS-18,19.2337,-2.0258,dE  ,3.48,,,,,,0,0
NGC0474,MATLAS-22,19.6847,3.4907,dE  ,3.65,,"(39, 187)",2132.1873109364833,4820.001551104652,u,1,1
NGC0474,MATLAS-23,19.7116,3.5617,dI  ,0.0,,"(39, 187)",1612.1130010429342,6196.004235577754,u,1,1
NGC0474,MATLAS-29,20.1466,3.1456,dE  ,7.59,,"(40, 186)",2694.405064969114,7821.714741927564,u,1,1
NGC0502,MATLAS-31,20.3402,8.8382,dE  ,4.12,,"(40, 198)",3259.408355311215,1864.6874740333124,u,1,1
NGC0502,MATLAS-37,20.531,9.1407,dI  ,0.0,,"(41, 198)",9296.035565874889,7727.96292951097,u,1,1
NGC0502,MATLAS-38,20.5753,9.1776,dI  ,0.0,,"(41, 198)",8448.084561149917,8442.579974395614,u,1,1
NGC0502,MATLAS-39,20.5831,9.0089,dE  ,2.42,,"(41, 198)",8300.400726384836,5173.250453401655,u,1,1
NGC0502,MATLAS-40,20.5962,9.0368,dE  ,4.96,,"(41, 198)",8049.4307257896135,5713.811952658998,u,1,1
NGC0502,MATLAS-41,20.6222,8.7659,dE  ,0.0,,"(41, 198)",7553.739590025716,463.8121977219362,u,1,1
NGC0502,MATLAS-47,20.7197,9.1419,dE  ,2.3,,"(41, 198)",5685.627934203442,7749.914637643038,u,1,1
NGC0502,MATLAS-51,20.7996,9.2761,dI  ,0.0,,"(41, 199)",4721.807621654986,661.0336317299898,u,1,1
NGC0502,MATLAS-52,20.7998,8.7176,dE  ,2.48,,"(41, 197)",3618.440665336604,9217.014571722328,u,1,1
NGC0502,MATLAS-54,20.8212,9.3629,dE  ,6.16,,"(41, 199)",4308.867740015962,2343.1744715243112,u,1,1
NGC0524,MATLAS-55,20.8342,9.4761,dE  ,3.02,,"(41, 199)",4060.607167086657,4536.909069584202,u,1,1
