host,ID,ra,dec,morph,re,z,tile,x,y,bands,n_bands,cutout
NGC4631,dw1248p3158,192.2187,31.9702,,15.94371205045123,,"(326, 244)",4792.527669304649,4422.518927778115,"['u', 'g', 'r', 'i']",4,0
NGC4631,dw1247p3313,191.9083,33.2331,,6.592111713167335,,"(322, 246)",6008.079270871308,9517.561199062937,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1231p4205,187.7873,42.0942,,8.034505310005944,,"(279, 264)",3971.333633875826,6825.930492025885,"['u', 'g', 'r', 'i']",4,0
NGC4736,IC3687,190.5626,38.5034,,53.88913616546163,,"(298, 257)",2367.582638692621,5068.37094769149,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1243p4127,190.9798,41.4575,,26.39698413281293,,"(286, 263)",4313.267499064288,4176.581499414027,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1243p4339,190.9898,43.6618,,14.384514702327266,,"(277, 267)",4244.196180810437,8135.770156467741,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1249p4421,192.3797,44.3595,,8.270236517145483,,"(274, 269)",825.270558158214,2284.924866646988,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1251p4138,192.7698,41.6353,,21.58413865371401,,"(289, 263)",7397.11271773933,7624.278875687378,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1255p4035,193.7615,40.5902,,25.52772530648588,,"(295, 261)",8146.778337955451,6751.8045732289775,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1234p3952,188.5929,39.8785,,10.239574310123713,,"(289, 260)",5571.8608161877455,2645.575418625141,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1241p4103,190.254,41.053,,7.3076674213257,,"(287, 262)",3324.747740251208,6028.186025079459,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1242p4115,190.5471,41.2525,,12.714751985088869,,"(288, 262)",8711.885171086069,9898.661677732987,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1303p4222,195.8097,42.3733,,12.115601833609206,,"(289, 265)",7600.994542696199,2547.4604951272026,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1305p4206,196.499,42.1062,,13.868852686709529,,"(292, 264)",4473.480484439464,7058.161126487735,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1308p4054,197.1913,40.901,,16.069010620011888,,"(298, 262)",8451.475314344152,3086.1276897814705,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1311p4051,197.9217,40.863,,7.278201020433258,,"(299, 262)",7458.418123539437,2347.43138299643,"['u', 'g', 'r', 'i']",4,0
NGC4826,UGC7929,191.3366,21.4271,,27.10241718310904,,"(356, 223)",4555.339341059406,3587.307725624909,['u'],1,0
NGC4826,IC3840,192.9417,21.7349,,18.711720536529043,,"(359, 223)",4683.718324451249,9552.162037048547,['u'],1,0
NGC4826,dw1252p2215,193.0237,22.2654,,9.095110418857814,,"(357, 225)",8287.485430735705,455.6622963978607,['u'],1,0
NGC4826,dw1255p1912,193.921,19.2096,,34.43065548807663,,"(367, 218)",7788.847659932387,9063.069234883067,['u'],1,0
NGC4826,dw1258p2329,194.7139,23.4899,,21.94968881572874,,"(357, 227)",3752.9913175776273,4804.576796931442,['u'],1,0
NGC4826,dw1245p2309,191.2591,23.1657,,6.075082312296555,,"(352, 226)",3936.8235228815984,8211.321040236575,['u'],1,0
NGC4826,dw1251p2324,192.8683,23.4009,,5.156620156177409,,"(354, 227)",7485.915065440049,3080.7470779811642,['u'],1,0
NGC5055,dw1310p4153,197.6743,41.8908,,13.810672878258233,,"(294, 264)",6928.931784533351,2885.317476631331,"['u', 'g', 'r', 'i']",4,0
NGC5055,dw1312p4158,198.0772,41.9755,,12.68284389257794,,"(294, 264)",1121.8094909475485,4531.3084673494495,"['u', 'g', 'r', 'i']",4,0
NGC5055,dw1312p4032,198.2159,40.5432,,11.268988174446775,,"(301, 261)",651.1868675125515,5844.456226278281,"['u', 'g', 'r', 'i']",4,0
NGC5055,UGCA337,198.244,41.7864,,26.340039011960094,,"(295, 264)",8422.098809058087,865.3470071404918,"['u', 'g', 'r', 'i']",4,0
NGC5055,UGC8313,198.4754,42.2092,,31.160635893022448,,"(295, 264)",5077.908180238591,9054.099702120455,"['u', 'g', 'r', 'i']",4,0
